x-axis,1,2,3
second,Volt,Volt,Volt
-2.275000E-06,+3.193867132068E+00,+3.179844215512E+00,+3.243216373025E+00
-2.272500E-06,+3.193867132068E+00,+3.099442206323E+00,+3.343718886375E+00
-2.270000E-06,+3.193867132068E+00,+3.099442206323E+00,+3.343718886375E+00
-2.267500E-06,+3.193867132068E+00,+3.079341704026E+00,+3.192965116351E+00
-2.265000E-06,+2.992862105370E+00,+3.099442206323E+00,+3.343718886375E+00
-2.262500E-06,+3.193867132068E+00,+3.099442206323E+00,+3.343718886375E+00
-2.260000E-06,+3.193867132068E+00,+3.019040197134E+00,+3.142713859677E+00
-2.257500E-06,+3.193867132068E+00,+3.099442206323E+00,+3.142713859677E+00
-2.255000E-06,+3.193867132068E+00,+3.099442206323E+00,+3.243216373027E+00
-2.252500E-06,+3.193867132068E+00,+3.099442206323E+00,+3.343718886375E+00
-2.250000E-06,+3.193867132068E+00,+3.099442206323E+00,+3.142713859677E+00
-2.247500E-06,+3.193867132068E+00,+3.179844215512E+00,+3.343718886375E+00
-2.245000E-06,+3.193867132068E+00,+3.099442206323E+00,+3.243216373028E+00
-2.242500E-06,+3.394872158766E+00,+3.099442206323E+00,+3.142713859677E+00
-2.240000E-06,+3.193867132068E+00,+3.099442206323E+00,+3.343718886375E+00
-2.237500E-06,+3.143615875394E+00,+3.179844215512E+00,+3.343718886375E+00
-2.235000E-06,+3.193867132068E+00,+3.139643210917E+00,+3.243216373028E+00
-2.232500E-06,+3.193867132068E+00,+3.119542708621E+00,+3.343718886375E+00
-2.230000E-06,+3.193867132068E+00,+3.179844215512E+00,+3.142713859677E+00
-2.227500E-06,+3.193867132068E+00,+3.099442206323E+00,+3.192965116351E+00
-2.225000E-06,+3.193867132068E+00,+3.099442206323E+00,+3.343718886375E+00
-2.222500E-06,+3.193867132068E+00,+3.079341704025E+00,+3.343718886375E+00
-2.220000E-06,+3.394872158766E+00,+3.099442206323E+00,+3.343718886375E+00
-2.217500E-06,+3.143615875394E+00,+3.119542708620E+00,+3.343718886375E+00
-2.215000E-06,+3.193867132068E+00,+3.099442206323E+00,+3.343718886375E+00
-2.212500E-06,+3.193867132068E+00,+3.179844215512E+00,+3.142713859677E+00
-2.210000E-06,+3.193867132068E+00,+3.099442206323E+00,+3.343718886375E+00
-2.207500E-06,+3.193867132068E+00,+3.099442206323E+00,+3.343718886375E+00
-2.205000E-06,+3.193867132068E+00,+3.019040197134E+00,+3.142713859677E+00
